iter	RMSE
0	75403.41195
1	73236.14268
2	70933.31284
3	68797.78057
4	66971.08309
5	64978.89334
6	63362.90259
7	61682.3601
8	60003.4405
9	58396.53836
10	56858.13776
11	55362.53525
12	54078.12541
13	52817.3613
14	51630.08837
15	50438.60442
16	49180.09562
17	48104.86073
18	47083.74434
19	46158.90658
20	45104.62534
21	44125.133
22	43222.43953
23	42411.45745
24	41626.34366
25	40925.93044
26	40268.13698
27	39647.54078
28	38938.93549
29	38405.81975
30	37825.00695
31	37121.27337
32	36465.44645
33	35834.66226
34	35277.92548
35	34722.86496
36	34172.13942
37	33728.58391
38	33274.6519
39	32798.65394
40	32382.13232
41	31971.67586
42	31555.56903
43	31109.8348
44	30689.92289
45	30354.62862
46	30016.25539
47	29660.71498
48	29312.95102
49	29045.84673
50	28765.26973
51	28479.85129
52	28192.05903
53	27909.62774
54	27604.68959
55	27315.45179
56	27046.186
57	26763.67718
58	26543.5677
59	26297.08339
60	26061.00212
61	25816.96754
62	25549.8259
63	25291.01915
64	25096.93563
65	24851.73631
66	24621.52588
67	24421.84681
68	24199.90459
69	24001.68833
70	23811.95784
71	23653.61814
72	23520.05472
73	23335.86213
74	23180.65138
75	23014.70744
76	22826.91744
77	22677.38659
78	22567.21925
79	22431.25064
80	22293.88246
81	22142.78993
82	22015.80825
83	21856.48732
84	21720.38791
85	21573.82956
86	21462.4279
87	21331.55535
88	21240.48757
89	21099.75335
90	20963.63974
91	20863.27629
92	20770.94538
93	20673.49055
94	20579.15665
95	20466.3694
96	20368.86882
97	20237.34703
98	20161.34722
99	20043.21936
