iter	Passed	Remaining
0	7	738
1	18	885
2	27	892
3	37	897
4	46	890
5	55	871
6	64	853
7	73	848
8	78	798
9	89	803
10	98	800
11	108	793
12	117	786
13	126	778
14	136	773
15	146	769
16	155	757
17	163	745
18	172	733
19	180	721
20	187	707
21	196	695
22	205	687
23	213	676
24	222	666
25	230	654
26	237	642
27	245	632
28	254	623
29	264	616
30	272	605
31	288	613
32	296	601
33	304	591
34	312	580
35	320	569
36	329	561
37	339	553
38	348	544
39	357	535
40	366	526
41	374	516
42	383	508
43	391	497
44	399	487
45	407	477
46	414	467
47	422	458
48	431	448
49	432	432
50	440	423
51	449	415
52	458	406
53	466	397
54	476	389
55	485	381
56	493	372
57	502	364
58	511	355
59	520	346
60	530	339
61	538	330
62	548	322
63	557	313
64	566	304
65	575	296
66	583	287
67	593	279
68	602	270
69	612	262
70	622	254
71	630	245
72	641	237
73	650	228
74	659	219
75	668	211
76	677	202
77	686	193
78	695	184
79	704	176
80	712	167
81	720	158
82	728	149
83	736	140
84	743	131
85	752	122
86	761	113
87	769	104
88	778	96
89	787	87
90	796	78
91	804	69
92	813	61
93	821	52
94	830	43
95	839	34
96	848	26
97	857	17
98	867	8
99	890	0
